"LOCUS"	"LENGTH"	"RECORD_DATE"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"strain"	"segment"	"gene"	"product"	"codon_start"	"note"	"COMPLEMENT"	"position"	"regAssign"
"JX570630"	" 648"	"01-MAY-2014"	"cattle"	"Kenya: Rongai, Rift Valley Province"	"01-Jan-2009"	"SAT2"	"KEN/122/2009"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570629"	" 648"	"01-MAY-2014"	"cattle"	"Kenya: Taita Taveta, Coast Province"	"01-Feb-2009"	"SAT2"	"KEN/13/2009"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570628"	" 648"	"01-MAY-2014"	"cattle"	"Kenya: Kikuyu, Kiambu West, Central Province"	"01-Feb-2009"	"SAT2"	"KEN/11/2009"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570627"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Fayoum Governorate"	"04-Mar-2012"	"SAT2"	"EGY/15/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570626"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Garbia Governorate"	"03-Mar-2012"	"SAT2"	"EGY/14/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570625"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Qalubia-Banha Governorate"	"01-Mar-2012"	"SAT2"	"EGY/13/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570624"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Mnoufia Governorate"	"29-Feb-2012"	"SAT2"	"EGY/11/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570623"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Giza Governorate"	"29-Feb-2012"	"SAT2"	"EGY/10/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570622"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: El-Suiz Governorate"	"29-Feb-2012"	"SAT2"	"EGY/9/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570621"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Kafre El-Shaisk Governorate"	"27-Feb-2012"	"SAT2"	"EGY/6/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570620"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Menia Governorate"	"27-Feb-2012"	"SAT2"	"EGY/5/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570619"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Menia Governorate"	"27-Feb-2012"	"SAT2"	"EGY/4/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570618"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Garbia Governorate"	"18-Feb-2012"	"SAT2"	"EGY/3/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570617"	" 648"	"01-MAY-2014"	"cattle"	"Egypt: Alexandria Governorate"	"17-Feb-2012"	"SAT2"	"EGY/2/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570616"	" 648"	"01-MAY-2014"	"cattle"	"Cameroon: Vina, Adamawa Region"	"20-May-2005"	"SAT2"	"CAR/8/2005"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570615"	" 648"	"01-MAY-2014"	"cattle"	"Cameroon: Vina, Adamawa Region"	"19-May-2005"	"SAT2"	"CAR/1/2005"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570614"	" 648"	"01-MAY-2014"	"cattle"	"Bahrain: Farm 12, Northern Governorate"	"05-Apr-2012"	"SAT2"	"BAR/28/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570613"	" 648"	"01-MAY-2014"	"cattle"	"Bahrain: Farm 6 Vet Quarantine"	"26-Mar-2012"	"SAT2"	"BAR/16/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570612"	" 648"	"01-MAY-2014"	"cattle"	"Bahrain: Farm 5 Vet Quarantine"	"21-Mar-2012"	"SAT2"	"BAR/13/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570611"	" 648"	"01-MAY-2014"	"cattle"	"Bahrain: Farm 5 Vet Quarantine"	"20-Mar-2012"	"SAT2"	"BAR/12/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"JX570610"	" 648"	"01-MAY-2014"	"cattle"	"Bahrain: Farm 4 Vet Quarantine"	"06-Mar-2012"	"SAT2"	"BAR/10/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"-1"	"FALSE"	"<1..>648"	"1"
"KJ440876"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Thika East"	"2013"	"A"	"K3/13"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440875"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Koibatek"	"2012"	"A"	"K154/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440874"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Nakuru North"	"2012"	"A"	"K148/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440873"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Naivasha"	"2012"	"A"	"K143/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440872"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Gilgil"	"2012"	"A"	"K138/12"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440871"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Narok South"	"2009"	"A"	"K63/09"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440870"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Loitoktok"	"2008"	"A"	"K73/08"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440869"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Nakuru"	"2005"	"A"	"K44/05"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440868"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"2003"	"A"	"K129/03"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440867"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Nairobi"	"2001"	"A"	"K60/01"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440866"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru Central"	"2001"	"A"	"K73/01"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440865"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru North"	"1997"	"A"	"K1/97"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440864"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Garissa"	"1995"	"A"	"K64/95"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440863"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Narok"	"1994"	"A"	"K9/94"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440862"	" 636"	"29-APR-2014"	"cattle"	"Kenya: Kakamega"	"1992"	"A"	"K15/92"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>636"	"1"
"KJ440861"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru North"	"1992"	"A"	"K11/92"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440860"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru North"	"1991"	"A"	"K87/91"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440859"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Mombasa"	"1985"	"A"	"K83/85"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440858"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Isiolo"	"1985"	"A"	"K67/85"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440857"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Narok"	"1984"	"A"	"K49/84"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440856"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru Central"	"1984"	"A"	"K36/84"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440855"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Taita Taveta"	"1983"	"A"	"K293/83"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440854"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kericho"	"1983"	"A"	"K288/83"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440853"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kwale"	"1981"	"A"	"K51/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440852"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kilifi"	"1981"	"A"	"K48/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440851"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Teso"	"1981"	"A"	"K7/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440850"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Bungoma"	"1981"	"A"	"K4/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440849"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Trans Nzoia"	"1981"	"A"	"K50/81"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440848"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1980"	"A"	"K5/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440847"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1980"	"A"	"K16/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440846"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Embu"	"1980"	"A"	"K35/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440845"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Laikipia"	"1980"	"A"	"K158/80"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440844"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Thika"	"1979"	"A"	"K151/79"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440843"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kiambu"	"1979"	"A"	"K131/79"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440842"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1978"	"A"	"K61/78"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440841"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Meru Central"	"1978"	"A"	"K28/78"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440840"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kajiado"	"1971"	"A"	"K179/71"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ440839"	" 639"	"29-APR-2014"	"cattle"	"Kenya: Kericho"	"1966"	"A"	"K18/66"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid protein; 1D"	"FALSE"	"<1..>639"	"1"
"KJ427752"	" 639"	"22-APR-2014"	"porcine"	"Taiwan: Kinmen island"	"29-Jan-2012"	"O"	"O/Kinmen/6/2012"	"-1"	"-1"	"-1"	"VP1 protein"	"1"	"capsid protein"	"FALSE"	"<1..>639"	"1"
"KF055861"	" 648"	"31-MAR-2014"	"cattle"	"Egypt: Faiyum Governorate"	"02-Mar-2012"	"SAT 2"	"EGY/H1Fay/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>648"	"1"
"KF055860"	" 648"	"31-MAR-2014"	"cattle"	"Egypt: Gharbia Governorate"	"02-Mar-2012"	"SAT 2"	"EGY/H1Ghb/2012"	"-1"	"-1"	"-1"	"VP1"	"1"	"capsid polypeptide; 1D"	"FALSE"	"<1..>648"	"1"
"KF112927"	"2202"	"25-FEB-2014"	"cattle"	"Viet Nam: Ninh Thuan Province"	"01-Sep-2004"	"A"	"A/VIT/4/2004"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2202"	"1"
"KF112926"	"2205"	"25-FEB-2014"	"cattle"	"United Kingdom: Kent"	"1932"	"A"	"A12/Kent/UK/199/32"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112925"	"2205"	"25-FEB-2014"	"cattle"	"Uganda: Olilim, Teso"	"05-Feb-1966"	"A"	"A/UGA/13/66"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112924"	"2205"	"25-FEB-2014"	"cattle"	"Turkey: Beykoz, Istanbul, Marmara"	"31-Jan-2008"	"A"	"A/TUR/7/2008"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112923"	"2205"	"25-FEB-2014"	"cattle"	"Turkey: Seyitgazi, Eskisehir Province"	"23-Jun-2006"	"A"	"A/TUR/20/2006"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112922"	"2205"	"25-FEB-2014"	"cattle"	"Turkey: Arpacay, Kars Province"	"15-May-2006"	"A"	"A/TUR/4/2006"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112921"	"2205"	"25-FEB-2014"	"cattle"	"Togo: Agbelouve, Zio, Maritime"	"14-Jul-2005"	"A"	"A/TOG/9/2005"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112920"	"2205"	"25-FEB-2014"	"cattle"	"Thailand: Saraburi Province"	"16-Jan-2006"	"A"	"A/TAI/1/2006"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112919"	"2202"	"25-FEB-2014"	"cattle"	"Thailand"	"1987"	"A"	"A/TAI/118/87"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2202"	"1"
"KF112918"	"2205"	"25-FEB-2014"	"host unknown"	"Thailand: Bangkok"	"1960"	"A"	"A15/Bangkok/TAI/60"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112917"	"2205"	"25-FEB-2014"	"cattle"	"Sudan: Amara, Kassala State"	"09-Nov-2006"	"A"	"A/SUD/1/2006"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112916"	"2205"	"25-FEB-2014"	"host unknown"	"Sudan: Kadaro"	"1977"	"A"	"A/SUD/3/77"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112915"	"2205"	"25-FEB-2014"	"water buffalo"	"Pakistan: Gujrat, Punjab"	"30-Jun-2009"	"A"	"A/PAK/23/2009"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112914"	"2205"	"25-FEB-2014"	"cattle"	"Niger: Niamey"	"1973"	"A"	"A/NGR/2/73"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112913"	"2205"	"25-FEB-2014"	"cattle"	"Libya"	"20-Feb-2009"	"A"	"A/LIB/14/2009"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112912"	"2205"	"25-FEB-2014"	"cattle"	"Kenya: Olulunga, Narok South, Rift Valley"	"01-Mar-2009"	"A"	"A/KEN/22/2009"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112911"	"2205"	"25-FEB-2014"	"cattle"	"Kenya: Machakos District, Eastern Province"	"18-Nov-2003"	"A"	"A/KEN/1/2003"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112910"	"2205"	"25-FEB-2014"	"host unknown"	"Kenya"	"27-Jan-1967"	"A"	"A/KEN/42/66"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112909"	"2205"	"25-FEB-2014"	"cattle"	"Iraq: Al-Suwarau, Hasit"	"07-Feb-2009"	"A"	"A/IRQ/24/2009"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112908"	"2205"	"25-FEB-2014"	"host unknown"	"Iran: Tehran"	"2009"	"A"	"A/IRN/23/2009"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
"KF112907"	"2205"	"25-FEB-2014"	"cattle"	"Iran: Miandoab County, West Azerbaijan"	"24-Aug-2005"	"A"	"A/IRN/31/2005"	"-1"	"-1"	"-1"	"capsid protein"	"1"	"VP1"	"FALSE"	"<1..>2205"	"1"
