"taxa"	"X"	"genome_number"	"LOCUS"	"LENGTH"	"RECORD_DATE"	"ACCN"	"host"	"country"	"collection_date"	"serotype"	"isolate"	"organism"	"strain"	"segment"	"product"
"KP821618"	"25|sheep/Morocco/2009|MOR2009/01|Sep-2009"	25	"KP821618"	1156	"16-AUG-2015"	"KP821618"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/01"	"Bluetongue virus 1"	"MOR2009/01"	7	"VP7"
"KP821619"	"26|sheep/Morocco/2009|MOR2009/04|Sep-2009"	26	"KP821619"	1156	"16-AUG-2015"	"KP821619"	"sheep"	"Morocco: Fes"	"Sep-2009"	1	"MOR2009/04"	"Bluetongue virus 1"	"MOR2009/04"	7	"VP7"
"KP821620"	"27|sheep/Morocco/2009|MOR2009/06|Sep-2009"	27	"KP821620"	1156	"16-AUG-2015"	"KP821620"	"sheep"	"Morocco: Marrakesh"	"Sep-2009"	1	"MOR2009/06"	"Bluetongue virus 1"	"MOR2009/06"	7	"VP7"
"FJ969725"	"28|0/SouthAfrica/0|South Africa|0"	28	"FJ969725"	1156	"12-AUG-2009"	"FJ969725"	"0"	"South Africa"	"0"	1	"South Africa"	"Bluetongue virus"	"South Africa"	7	"VP7"
"KP821621"	"29|sheep/SouthAfrica/1958|RSAvvvv/01|Jun-1958"	29	"KP821621"	1156	"16-AUG-2015"	"KP821621"	"sheep"	"South Africa: Natal"	"Jun-1958"	1	"RSAvvvv/01"	"Bluetongue virus 1"	"RSAvvvv/01"	7	"VP7"
"KP821622"	"30|cattle/Spain/2007|SPA2007/04|Jun-2007"	30	"KP821622"	1156	"16-AUG-2015"	"KP821622"	"cattle"	"Spain: Cordoba"	"Jun-2007"	1	"SPA2007/04"	"Bluetongue virus 1"	"SPA2007/04"	7	"VP7"
"KP821623"	"31|cattle/Spain/2007|SPA2007/05|Jun-2007"	31	"KP821623"	1156	"16-AUG-2015"	"KP821623"	"cattle"	"Spain: Pias Vasco"	"Jun-2007"	1	"SPA2007/05"	"Bluetongue virus 1"	"SPA2007/05"	7	"VP7"
"KP821624"	"32|sheep/Spain/2008|SPA2008/01|Jun-2008"	32	"KP821624"	1156	"16-AUG-2015"	"KP821624"	"sheep"	"Spain: Asturias"	"Jun-2008"	1	"SPA2008/01"	"Bluetongue virus 1"	"SPA2008/01"	7	"VP7"
"KP821625"	"33|cattle/Spain/2009|SPA2009/01|Jun-2009"	33	"KP821625"	1156	"16-AUG-2015"	"KP821625"	"cattle"	"Spain: Galicia"	"Jun-2009"	1	"SPA2009/01"	"Bluetongue virus 1"	"SPA2009/01"	7	"VP7"
"KP821626"	"34|0/Sudan/1987|SUD1987/01|Apr-1987"	34	"KP821626"	1156	"16-AUG-2015"	"KP821626"	"0"	"Sudan: Sudan"	"Apr-1987"	1	"SUD1987/01"	"Bluetongue virus 1"	"SUD1987/01"	7	"VP7"
"KP821627"	"35|sheep/Tunisia/2007|TUN2007/01|Sep-2007"	35	"KP821627"	1156	"16-AUG-2015"	"KP821627"	"sheep"	"Tunisia: Tunisia"	"Sep-2007"	1	"TUN2007/01"	"Bluetongue virus 1"	"TUN2007/01"	7	"VP7"
"JQ240327"	"36|cattle/Australia/2010|Cooktown|2010"	36	"JQ240327"	1151	"06-JUN-2012"	"JQ240327"	"cattle"	"Australia: Cooktown, Queensland"	"2010"	2	"Cooktown"	"Bluetongue virus 2"	"Cooktown"	7	"VP7"
"JQ086247"	"37|cattle/Australia/2008|v7291|2008"	37	"JQ086247"	1135	"09-JUN-2012"	"JQ086247"	"cattle"	"Australia: Douglas Daly, Northern Territory"	"2008"	2	"v7291"	"Bluetongue virus 2"	"v7291"	7	"VP7"
"JQ713561"	"38|0/India/1982|IND1982/01|26-Mar-1982"	38	"JQ713561"	1156	"06-MAY-2012"	"JQ713561"	"0"	"India"	"26-Mar-1982"	2	"IND1982/01"	"Bluetongue virus 2"	"IND1982/01"	7	"VP7"
"AY493692"	"39|0/Taiwan/0|KM|0"	39	"AY493692"	1154	"01-JAN-2005"	"AY493692"	"0"	"Taiwan"	"0"	2	"KM"	"Bluetongue virus"	"KM"	0	"core protein"
"KP821628"	"40|0/France/2001|FRA2001/01|Jul-2001"	40	"KP821628"	1154	"16-AUG-2015"	"KP821628"	"0"	"France: Corsica"	"Jul-2001"	2	"FRA2001/01"	"Bluetongue virus 2"	"FRA2001/01"	7	"VP7"
"KP821629"	"41|sheep/France/2001|FRA2001/03|Sep-2001"	41	"KP821629"	1154	"16-AUG-2015"	"KP821629"	"sheep"	"France: Corsica"	"Sep-2001"	2	"FRA2001/03"	"Bluetongue virus 2"	"FRA2001/03"	7	"VP7"
"KP821630"	"42|sheep/France/2001|FRA2001/06|Sep-2001"	42	"KP821630"	1154	"16-AUG-2015"	"KP821630"	"sheep"	"France: Corsica"	"Sep-2001"	2	"FRA2001/06"	"Bluetongue virus 2"	"FRA2001/06"	7	"VP7"
"JQ681262"	"43|sheep/India/2003|IND2003/02|2003"	43	"JQ681262"	1153	"16-APR-2012"	"JQ681262"	"sheep"	"India: Tiruneveli, Tamil Nadu"	"2003"	2	"IND2003/02"	"Bluetongue virus"	"IND2003/02"	7	"VP7"
"KP821631"	"44|sheep/Israel/2001|ISR2001/17|Feb-2001"	44	"KP821631"	1154	"16-AUG-2015"	"KP821631"	"sheep"	"Israel: Yokneam"	"Feb-2001"	2	"ISR2001/17"	"Bluetongue virus 2"	"ISR2001/17"	7	"VP7"
"KP821632"	"45|C.pulicaris/Italy/2002|ITL2002/02|Jul-2002"	45	"KP821632"	1154	"16-AUG-2015"	"KP821632"	"C.pulicaris"	"Italy: Novara di Sicilia-Sicily"	"Jul-2002"	2	"ITL2002/02"	"Bluetongue virus 2"	"ITL2002/02"	7	"VP7"
"KP821633"	"46|sheep/Italy/2002|ITL2002/07|Jul-2002"	46	"KP821633"	1155	"16-AUG-2015"	"KP821633"	"sheep"	"Italy: S.Angelo di Brolo-Sicily"	"Jul-2002"	2	"ITL2002/07"	"Bluetongue virus 2"	"ITL2002/07"	7	"VP7"
"KP821634"	"47|sheep/SouthAfrica/1959|RSArrrr/02|Jun-1959"	47	"KP821634"	1154	"16-AUG-2015"	"KP821634"	"sheep"	"South Africa: Transvaal"	"Jun-1959"	2	"RSArrrr/02"	"Bluetongue virus 2"	"RSArrrr/02"	7	"VP7"
"KP821635"	"48|sheep/SouthAfrica/1958|RSAvvvv/02|Jun-1958"	48	"KP821635"	1154	"16-AUG-2015"	"KP821635"	"sheep"	"South Africa"	"Jun-1958"	2	"RSAvvvv/02"	"Bluetongue virus 2"	"RSAvvvv/02"	7	"VP7"
"KP821636"	"49|sheep/Italy/2001|SAD2001/01|Dec-2001"	49	"KP821636"	1155	"16-AUG-2015"	"KP821636"	"sheep"	"Italy: Sardinia"	"Dec-2001"	2	"SAD2001/01"	"Bluetongue virus 2"	"SAD2001/01"	7	"VP7"
"KP821637"	"50|sheep/Italy/2001|SAD2001/03|Dec-2001"	50	"KP821637"	1155	"16-AUG-2015"	"KP821637"	"sheep"	"Italy: Sardinia"	"Dec-2001"	2	"SAD2001/03"	"Bluetongue virus 2"	"SAD2001/03"	7	"VP7"
"KP821638"	"51|sheep/Italy/2002|SAD2002/02|Jan-2002"	51	"KP821638"	1155	"16-AUG-2015"	"KP821638"	"sheep"	"Italy: Sardinia"	"Jan-2002"	2	"SAD2002/02"	"Bluetongue virus 2"	"SAD2002/02"	7	"VP7"
"KP821639"	"52|cattle/Spain/2005|SPA2005/01|Jul-2005"	52	"KP821639"	1154	"16-AUG-2015"	"KP821639"	"cattle"	"Spain"	"Jul-2005"	2	"SPA2005/01"	"Bluetongue virus 2"	"SPA2005/01"	7	"VP7"
"KP821640"	"53|Culicoides/Sudan/1983|SUD1983/05|Oct-1983"	53	"KP821640"	1157	"16-AUG-2015"	"KP821640"	"Culicoides"	"Sudan: Nyala"	"Oct-1983"	2	"SUD1983/05"	"Bluetongue virus 2"	"SUD1983/05"	7	"VP7"
"KP821641"	"54|0/Tunisia/2000|TUN2000/01|Feb-2000"	54	"KP821641"	1155	"16-AUG-2015"	"KP821641"	"0"	"Tunisia: Tunisia"	"Feb-2000"	2	"TUN2000/01"	"Bluetongue virus 2"	"TUN2000/01"	7	"VP7"
"JN255868"	"55|sheep/Italy/2000|BTV-2IT(L)|2000"	55	"JN255868"	1154	"12-OCT-2011"	"JN255868"	"sheep"	"Italy"	"2000"	2	"BTV-2IT(L)"	"Bluetongue virus 2"	"BTV-2IT(L)"	7	"VP7"
"JN255938"	"56|0/SouthAfrica/0|BTV-2RSA(vacc)|0"	56	"JN255938"	1154	"14-NOV-2013"	"JN255938"	"0"	"South Africa"	"0"	2	"BTV-2RSA(vacc)"	"Bluetongue virus 2"	"BTV-2RSA(vacc)"	7	"VP7"
"JN255928"	"57|0/SouthAfrica/0|BTV-2RSA(WT)|0"	57	"JN255928"	1154	"12-OCT-2011"	"JN255928"	"0"	"South Africa"	"0"	2	"BTV-2RSA(WT)"	"Bluetongue virus 2"	"BTV-2RSA(WT)"	7	"VP7"
"JQ086287"	"58|cattle/Australia/1986|DPP973|1986"	58	"JQ086287"	1075	"09-JUN-2012"	"JQ086287"	"cattle"	"Australia: Beatrice Hill, Northern Territory"	"1986"	3	"DPP973"	"Bluetongue virus 3"	"DPP973"	7	"VP7"
"JQ771819"	"59|0/India/2003|IND2003/08|2003"	59	"JQ771819"	1156	"19-MAY-2012"	"JQ771819"	"0"	"India"	"2003"	3	"IND2003/08"	"Bluetongue virus"	"IND2003/08"	7	"VP7(T13)"
"KP821642"	"60|0/Cyprus/1958|CYP1958/01|Mar-1958"	60	"KP821642"	1156	"16-AUG-2015"	"KP821642"	"0"	"Cyprus: Cyprus"	"Mar-1958"	3	"CYP1958/01"	"Bluetongue virus 3"	"CYP1958/01"	7	"VP7"
"KP821643"	"61|sheep/Cyprus/1943|RSArrrr/03|Jun-1943"	61	"KP821643"	1156	"16-AUG-2015"	"KP821643"	"sheep"	"Cyprus: Larnaca"	"Jun-1943"	3	"RSArrrr/03"	"Bluetongue virus 3"	"RSArrrr/03"	7	"VP7"
"JX560419"	"62|cattle/China/1997|YTS-4|1997"	62	"JX560419"	1154	"05-NOV-2012"	"JX560419"	"cattle"	"China"	"1997"	4	"YTS-4"	"Bluetongue virus 4"	"YTS-4"	7	"VP7"
"KP821644"	"63|cattle/Cyprus/1969|CYP1969/01|Jun-1969"	63	"KP821644"	1156	"16-AUG-2015"	"KP821644"	"cattle"	"Cyprus"	"Jun-1969"	4	"CYP1969/01"	"Bluetongue virus 4"	"CYP1969/01"	7	"VP7"
"KP821645"	"64|sheep/Cyprus/2004|CYP2004/03|Feb-2004"	64	"KP821645"	1156	"16-AUG-2015"	"KP821645"	"sheep"	"Cyprus: Ammochostos"	"Feb-2004"	4	"CYP2004/03"	"Bluetongue virus 4"	"CYP2004/03"	7	"VP7"
"KP821646"	"65|sheep/Cyprus/2011|CYP2011/01|Oct-2011"	65	"KP821646"	1156	"16-AUG-2015"	"KP821646"	"sheep"	"Cyprus: Poli Chrysochous-Paphos"	"Oct-2011"	4	"CYP2011/01"	"Bluetongue virus 4"	"CYP2011/01"	7	"VP7"
"KP821647"	"66|sheep/Cyprus/2011|CYP2011/02|Oct-2011"	66	"KP821647"	1156	"16-AUG-2015"	"KP821647"	"sheep"	"Cyprus: Poli Chrysochous-Paphos"	"Oct-2011"	4	"CYP2011/02"	"Bluetongue virus 4"	"CYP2011/02"	7	"VP7"
"KP821648"	"67|sheep/Cyprus/2011|CYP2011/03|Oct-2011"	67	"KP821648"	1156	"16-AUG-2015"	"KP821648"	"sheep"	"Cyprus: Poli Chrysochous-Paphos"	"Oct-2011"	4	"CYP2011/03"	"Bluetongue virus 4"	"CYP2011/03"	7	"VP7"
"KP821649"	"68|sheep/Cyprus/2011|CYP2011/04|Oct-2011"	68	"KP821649"	1156	"16-AUG-2015"	"KP821649"	"sheep"	"Cyprus: Poli Chrysochous-Paphos"	"Oct-2011"	4	"CYP2011/04"	"Bluetongue virus 4"	"CYP2011/04"	7	"VP7"
"KP821650"	"69|sheep/Cyprus/2011|CYP2011/05|Oct-2011"	69	"KP821650"	1156	"16-AUG-2015"	"KP821650"	"sheep"	"Cyprus: Poli Chrysochous-Paphos"	"Oct-2011"	4	"CYP2011/05"	"Bluetongue virus 4"	"CYP2011/05"	7	"VP7"
"KP821651"	"70|0/Egypt/1977|EGY1977/01|Jun-1977"	70	"KP821651"	1154	"16-AUG-2015"	"KP821651"	"0"	"Egypt"	"Jun-1977"	4	"EGY1977/01"	"Bluetongue virus 4"	"EGY1977/01"	7	"VP7"
"KP821652"	"71|0/France/2003|FRA2003/01|Jun-2003"	71	"KP821652"	1156	"16-AUG-2015"	"KP821652"	"0"	"France: Corsica"	"Jun-2003"	4	"FRA2003/01"	"Bluetongue virus 4"	"FRA2003/01"	7	"VP7"
"KP821653"	"72|0/France/2003|FRA2003-03.124|Jun-2003"	72	"KP821653"	1156	"16-AUG-2015"	"KP821653"	"0"	"France: Corsica"	"Jun-2003"	4	"FRA2003-03.124"	"Bluetongue virus 4"	"FRA2003-03.124"	7	"VP7"
"KP821654"	"73|0/France/2003|FRA2003-200|Jun-2003"	73	"KP821654"	1156	"16-AUG-2015"	"KP821654"	"0"	"France: Corsica"	"Jun-2003"	4	"FRA2003-200"	"Bluetongue virus 4"	"FRA2003-200"	7	"VP7"
"KP821655"	"74|sheep/Greece/1979|GRE1979/01|Jun-1979"	74	"KP821655"	1156	"16-AUG-2015"	"KP821655"	"sheep"	"Greece: Madamados-Lesvos"	"Jun-1979"	4	"GRE1979/01"	"Bluetongue virus 4"	"GRE1979/01"	7	"VP7"
"KP821656"	"75|sheep/Greece/1999|GRE1999/24|Jun-1999"	75	"KP821656"	1156	"16-AUG-2015"	"KP821656"	"sheep"	"Greece: Mandriko-Rhodes"	"Jun-1999"	4	"GRE1999/24"	"Bluetongue virus 4"	"GRE1999/24"	7	"VP7"
"KP821657"	"76|C.obsoletus/Greece/1999|GRE1999/26|Oct-1999"	76	"KP821657"	1156	"16-AUG-2015"	"KP821657"	"C.obsoletus"	"Greece: Keramidi-Magnesia"	"Oct-1999"	4	"GRE1999/26"	"Bluetongue virus 4"	"GRE1999/26"	7	"VP7"
"KP821658"	"77|sheep/Greece/2000|GRE2000/07|Oct-2000"	77	"KP821658"	1156	"16-AUG-2015"	"KP821658"	"sheep"	"Greece: Arta"	"Oct-2000"	4	"GRE2000/07"	"Bluetongue virus 4"	"GRE2000/07"	7	"VP7"
"KP821659"	"78|C.obsoletus/Greece/2000|GRE2000/08|Apr-2000"	78	"KP821659"	1156	"16-AUG-2015"	"KP821659"	"C.obsoletus"	"Greece: Kavala"	"Apr-2000"	4	"GRE2000/08"	"Bluetongue virus 4"	"GRE2000/08"	7	"VP7"
"KP821660"	"79|sheep/Greece/2012|GRE2012/01|Nov-2012"	79	"KP821660"	1156	"16-AUG-2015"	"KP821660"	"sheep"	"Greece: Rhodes"	"Nov-2012"	4	"GRE2012/01"	"Bluetongue virus 4"	"GRE2012/01"	7	"VP7"
"KP821661"	"80|sheep/Greece/2012|GRE2012/02|Nov-2012"	80	"KP821661"	1156	"16-AUG-2015"	"KP821661"	"sheep"	"Greece: Rhodes"	"Nov-2012"	4	"GRE2012/02"	"Bluetongue virus 4"	"GRE2012/02"	7	"VP7"
"KP821662"	"81|sheep/Greece/2012|GRE2012/03|Nov-2012"	81	"KP821662"	1156	"16-AUG-2015"	"KP821662"	"sheep"	"Greece: Rhodes"	"Nov-2012"	4	"GRE2012/03"	"Bluetongue virus 4"	"GRE2012/03"	7	"VP7"
"KP821663"	"82|sheep/Israel/2006|ISR2006/12|Nov-2006"	82	"KP821663"	1156	"16-AUG-2015"	"KP821663"	"sheep"	"Israel: Elyakim"	"Nov-2006"	4	"ISR2006/12"	"Bluetongue virus 4"	"ISR2006/12"	7	"VP7"
"KP821665"	"83|sheep/Morocco/2004|MOR2004/02|Sep-2004"	83	"KP821665"	1156	"16-AUG-2015"	"KP821665"	"sheep"	"Morocco: El Kebir"	"Sep-2004"	4	"MOR2004/02"	"Bluetongue virus 4"	"MOR2004/02"	7	"VP7"
"KP821666"	"84|sheep/Morocco/2009|MOR2009/07|Oct-2009"	84	"KP821666"	1156	"16-AUG-2015"	"KP821666"	"sheep"	"Morocco: Azrou"	"Oct-2009"	4	"MOR2009/07"	"Bluetongue virus 4"	"MOR2009/07"	7	"VP7"
"KP821667"	"85|sheep/Morocco/2009|MOR2009/08|Oct-2009"	85	"KP821667"	1156	"16-AUG-2015"	"KP821667"	"sheep"	"Morocco: Azrou"	"Oct-2009"	4	"MOR2009/08"	"Bluetongue virus 4"	"MOR2009/08"	7	"VP7"
"KP821668"	"86|sheep/Morocco/2009|MOR2009/09|Oct-2009"	86	"KP821668"	1156	"16-AUG-2015"	"KP821668"	"sheep"	"Morocco: Azrou"	"Oct-2009"	4	"MOR2009/09"	"Bluetongue virus 4"	"MOR2009/09"	7	"VP7"
"KP821669"	"87|sheep/Morocco/2009|MOR2009/10|Oct-2009"	87	"KP821669"	1156	"16-AUG-2015"	"KP821669"	"sheep"	"Morocco: Marrakesh"	"Oct-2009"	4	"MOR2009/10"	"Bluetongue virus 4"	"MOR2009/10"	7	"VP7"
"KP821670"	"88|sheep/Cyprus/1969|RSArrrr/04|Jun-1969"	88	"KP821670"	1156	"16-AUG-2015"	"KP821670"	"sheep"	"Cyprus: Cyprus"	"Jun-1969"	4	"RSArrrr/04"	"Bluetongue virus 4"	"RSArrrr/04"	7	"VP7"
"KP821671"	"89|sheep/Spain/2003|SPA2003/03|Nov-2003"	89	"KP821671"	1156	"16-AUG-2015"	"KP821671"	"sheep"	"Spain: Menorca"	"Nov-2003"	4	"SPA2003/03"	"Bluetongue virus 4"	"SPA2003/03"	7	"VP7"
"KP821672"	"90|sheep/Spain/2004|SPA2004/02|Jun-2004"	90	"KP821672"	1156	"16-AUG-2015"	"KP821672"	"sheep"	"Spain: Cadiz-Jimena de la Frontera"	"Jun-2004"	4	"SPA2004/02"	"Bluetongue virus 4"	"SPA2004/02"	7	"VP7"
"KP821673"	"91|cattle/Spain/2005|SPA2005/02|Aug-2005"	91	"KP821673"	1156	"16-AUG-2015"	"KP821673"	"cattle"	"Spain"	"Aug-2005"	4	"SPA2005/02"	"Bluetongue virus 4"	"SPA2005/02"	7	"VP7"
"KP821674"	"92|cattle/Spain/2010|SPA2010/01|Sep-2010"	92	"KP821674"	1156	"16-AUG-2015"	"KP821674"	"cattle"	"Spain: Cadiz-Vejer de la Frontera -Barbate"	"Sep-2010"	4	"SPA2010/01"	"Bluetongue virus 4"	"SPA2010/01"	7	"VP7"
"KP821675"	"93|cattle/Sudan/1983|SUD1983/01|Oct-1983"	93	"KP821675"	1156	"16-AUG-2015"	"KP821675"	"cattle"	"Sudan: Shambat"	"Oct-1983"	4	"SUD1983/01"	"Bluetongue virus 4"	"SUD1983/01"	7	"VP7"
"JN255888"	"94|sheep/Italy/2003|BTV-4IT(L)|2003"	94	"JN255888"	1156	"12-OCT-2011"	"JN255888"	"sheep"	"Italy"	"2003"	4	"BTV-4IT(L)"	"Bluetongue virus 4"	"BTV-4IT(L)"	7	"VP7"
"JN255948"	"95|0/SouthAfrica/0|BTV4-RSA(vacc)|0"	95	"JN255948"	1154	"22-JUL-2014"	"JN255948"	"0"	"South Africa"	"0"	4	"BTV4-RSA(vacc)"	"Bluetongue virus 4"	"BTV4-RSA(vacc)"	7	"VP7"
"GQ506522"	"96|lamb/SouthAfrica/0|BT2-03|0"	96	"GQ506522"	1156	"13-JUN-2010"	"GQ506522"	"lamb"	"South Africa"	"0"	6	"BT2-03"	"Bluetongue virus"	"BT2-03"	7	"VP7 core protein"
"GQ506494"	"97|Culicoides biting midges/SouthAfrica/0|P635|0"	97	"GQ506494"	1156	"13-JUN-2010"	"GQ506494"	"Culicoides biting midges"	"South Africa"	"0"	6	"P635"	"Bluetongue virus"	"P635"	7	"VP7 core protein"
"GQ506478"	"98|0/Netherlands/2008|NET2008/05|Sep-2008"	98	"GQ506478"	1156	"13-JUN-2010"	"GQ506478"	"0"	"Netherlands"	"Sep-2008"	6	"NET2008/05"	"Bluetongue virus"	"NET2008/05"	7	"VP7 core protein"
"GQ506502"	"99|0/SouthAfrica/1982|South Africa-ref|25-Jun-1982"	99	"GQ506502"	1156	"13-JUN-2010"	"GQ506502"	"0"	"South Africa"	"25-Jun-1982"	6	"RSArrrr/06"	"Bluetongue virus"	"RSArrrr/06"	7	"VP7 core protein"
"GQ506512"	"100|0/SouthAfrica/0|0|0"	100	"GQ506512"	1156	"13-JUN-2010"	"GQ506512"	"0"	"South Africa"	"0"	6	"0"	"Bluetongue virus"	"0"	7	"VP7 core protein"
